,Date,HomeTeam,AwayTeam,RunsHome,RunsAway,Inn,Win,Loss,Save,Time,Attendance
8,"Friday, Apr 9",ARI,CIN,5.0,6.0,10.0,Pérez,Young,Garrett,3:47,19385.0
9,"Saturday, Apr 10",ARI,CIN,8.0,3.0,9.0,Smith,Hoffman,None,3:09,13208.0
10,"Sunday, Apr 11",ARI,CIN,7.0,0.0,9.0,Weaver,De Leon,None,2:39,10981.0
11,"Monday, Apr 12",ARI,OAK,5.0,9.0,9.0,Bassitt,Bumgarner,None,3:29,8768.0
12,"Tuesday, Apr 13",ARI,OAK,5.0,7.0,9.0,Petit,Swarzak,Trivino,3:39,7010.0
23,"Tuesday, Apr 27",ARI,SDP,5.0,1.0,9.0,Kelly,Paddack,None,2:53,10486.0
24,"Wednesday, Apr 28",ARI,SDP,3.0,12.0,9.0,Northcraft,Smith,None,3:05,9495.0
25,"Thursday, Apr 29",ARI,COL,5.0,3.0,9.0,Smith,Stephenson,Crichton,3:01,6843.0
26,"Friday, Apr 30",ARI,COL,7.0,2.0,9.0,Bumgarner,Gray,None,2:58,13184.0
27,"Saturday, May 1",ARI,COL,6.0,14.0,9.0,Gomber,Gallen,None,3:41,15734.0
28,"Sunday, May 2",ARI,COL,8.0,4.0,9.0,Devenski,Bard,None,3:29,11395.0
35,"Monday, May 10",ARI,MIA,5.0,2.0,9.0,Weaver,Holloway,Crichton,2:47,6307.0
36,"Tuesday, May 11",ARI,MIA,11.0,3.0,9.0,Bumgarner,Lopez,None,3:02,5560.0
37,"Wednesday, May 12",ARI,MIA,2.0,3.0,9.0,Poteet,Peacock,Garcia,2:41,5714.0
38,"Thursday, May 13",ARI,MIA,1.0,5.0,9.0,Rogers,Kelly,None,2:55,5967.0
39,"Friday, May 14",ARI,WSN,2.0,17.0,9.0,Scherzer,Smith,None,3:14,11907.0
40,"Saturday, May 15",ARI,WSN,11.0,4.0,9.0,Young,Ross,None,3:27,13462.0
41,"Sunday, May 16",ARI,WSN,0.0,3.0,9.0,Fedde,Crichton,Hand,2:49,11619.0
49,"Tuesday, May 25",ARI,SFG,0.0,8.0,9.0,Gausman,Martin,None,3:16,10311.0
50,"Wednesday, May 26",ARI,SFG,4.0,5.0,9.0,Tropeano,Young,Rogers,3:03,8597.0
